Degerlendirilen: 1435 dosya   |   referans dili: TR+EN

#### Strict Matching (exact matches)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     25.06 |     22.72 |     23.83 |    1435 |
| authors        |     17.27 |     15.33 |     16.24 |    1435 |
| first_author   |      6.59 |      5.85 |      6.20 |    1435 |
| abstract       |     12.89 |     10.38 |     11.50 |    1435 |
| keywords       |     26.72 |     14.67 |     18.94 |     634 |

#### Soft Matching (punctuation/case/space ignored)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     41.28 |     37.42 |     39.25 |    1435 |
| authors        |     17.43 |     15.47 |     16.39 |    1435 |
| first_author   |     22.68 |     20.14 |     21.34 |    1435 |
| abstract       |     46.63 |     37.56 |     41.61 |    1435 |
| keywords       |     26.72 |     14.67 |     18.94 |     634 |

#### Levenshtein Matching (>= 0.8)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     56.19 |     50.94 |     53.44 |    1435 |
| authors        |     32.10 |     28.50 |     30.20 |    1435 |
| first_author   |     30.93 |     27.46 |     29.09 |    1435 |
| abstract       |     83.39 |     67.18 |     74.41 |    1435 |
| keywords       |     33.05 |     18.14 |     23.42 |     634 |

#### Ratcliff/Obershelp Matching (>= 0.95)
| label          | precision |    recall |        f1 | support |
|----------------|-----------|-----------|-----------|---------|
| title          |     47.73 |     43.28 |     45.39 |    1435 |
| authors        |     21.43 |     19.02 |     20.16 |    1435 |
| first_author   |     23.23 |     20.63 |     21.85 |    1435 |
| abstract       |     77.42 |     62.37 |     69.09 |    1435 |
| keywords       |     27.87 |     15.30 |     19.76 |     634 |

